iter	Passed	Remaining
455	1002	1195
456	1004	1193
457	1007	1191
458	1008	1189
459	1011	1186
460	1013	1185
461	1015	1182
462	1017	1180
463	1020	1178
464	1022	1175
465	1024	1173
466	1026	1171
467	1028	1169
468	1030	1166
469	1032	1164
470	1034	1162
471	1036	1159
472	1038	1157
473	1040	1154
474	1042	1152
475	1044	1149
476	1046	1147
477	1048	1145
478	1051	1143
479	1053	1140
480	1055	1138
481	1057	1136
482	1059	1133
483	1061	1131
484	1063	1129
485	1065	1126
486	1067	1124
487	1069	1122
488	1071	1119
489	1074	1118
490	1076	1116
491	1078	1113
492	1080	1111
493	1082	1108
494	1084	1106
495	1086	1103
496	1088	1101
497	1090	1099
498	1092	1096
499	1094	1094
500	1096	1092
501	1098	1089
502	1101	1087
503	1102	1085
504	1104	1083
505	1107	1080
506	1109	1078
507	1111	1076
508	1113	1074
509	1115	1071
510	1117	1069
511	1119	1067
512	1121	1065
513	1123	1062
514	1125	1060
515	1127	1057
516	1129	1055
517	1131	1053
518	1134	1051
519	1136	1048
520	1138	1046
521	1139	1043
522	1141	1041
523	1143	1039
524	1146	1036
525	1147	1034
526	1149	1031
527	1151	1029
528	1154	1027
529	1156	1025
530	1158	1023
531	1160	1020
532	1162	1018
533	1164	1015
534	1166	1013
535	1168	1011
536	1170	1009
537	1172	1007
538	1175	1005
539	1177	1002
540	1179	1000
541	1181	998
542	1183	995
543	1185	993
544	1187	991
545	1189	988
546	1191	986
547	1193	984
548	1195	981
549	1197	979
550	1200	977
551	1202	975
552	1204	973
553	1206	971
554	1208	968
555	1210	966
556	1212	964
557	1214	962
558	1216	959
559	1218	957
560	1220	955
561	1222	952
562	1225	950
563	1227	948
564	1229	946
565	1231	944
566	1233	942
567	1235	939
568	1237	937
569	1239	935
570	1241	932
571	1243	930
572	1245	928
573	1247	925
574	1249	923
575	1251	921
576	1254	919
577	1256	917
578	1258	914
579	1260	913
580	1263	911
581	1264	908
582	1267	906
583	1269	904
584	1271	902
585	1273	899
586	1275	897
587	1277	895
588	1279	892
589	1281	890
590	1283	888
591	1285	885
592	1287	883
593	1289	881
594	1291	879
595	1294	877
596	1295	874
597	1298	872
598	1300	870
599	1301	867
600	1303	865
601	1305	863
602	1307	861
603	1310	858
604	1311	856
605	1314	854
606	1316	852
607	1318	849
608	1320	848
609	1323	845
610	1325	843
611	1326	841
612	1329	839
613	1331	836
614	1333	834
615	1334	832
616	1336	829
617	1338	827
618	1341	825
619	1343	823
620	1344	820
621	1347	818
622	1349	816
623	1351	814
624	1353	811
625	1355	809
626	1358	807
627	1361	806
628	1363	804
629	1365	802
630	1372	802
631	1373	800
632	1375	797
633	1377	795
634	1380	793
635	1382	791
636	1384	788
637	1386	786
638	1388	784
639	1390	782
640	1392	779
641	1393	777
642	1395	774
643	1397	772
644	1399	770
645	1401	768
646	1403	765
647	1405	763
648	1407	761
649	1409	759
650	1411	756
651	1413	754
652	1415	752
653	1417	749
654	1419	747
655	1421	745
656	1423	743
657	1425	740
658	1426	738
659	1428	735
660	1430	733
661	1431	731
662	1433	728
663	1435	726
664	1437	724
665	1439	721
666	1440	719
667	1442	716
668	1443	714
669	1445	711
670	1447	709
671	1448	707
672	1450	704
673	1452	702
674	1454	700
675	1456	697
676	1457	695
677	1459	693
678	1461	690
679	1463	688
680	1464	686
681	1466	683
682	1469	681
683	1470	679
684	1472	677
685	1474	674
686	1476	672
687	1478	670
688	1479	667
689	1481	665
690	1483	663
691	1486	661
692	1488	659
693	1489	656
694	1491	654
695	1493	652
696	1495	650
697	1497	647
