iter	Logloss
0	0.6557744992
1	0.6268925454
2	0.6046879811
3	0.5822555788
4	0.563462625
5	0.5517863802
6	0.5287747007
7	0.5152940893
8	0.5051643651
9	0.4940847909
10	0.4790901955
11	0.4652975161
12	0.4582417146
13	0.4483452335
14	0.4413926927
15	0.4291832958
16	0.4158913169
17	0.4078338991
18	0.4042295538
19	0.4001102098
20	0.3937118526
21	0.3854565043
22	0.3804431363
23	0.3682350031
24	0.3649443527
25	0.3609584374
26	0.353906204
27	0.3514793436
28	0.3467502812
29	0.3437828973
30	0.3401753529
31	0.3353238566
32	0.3332900137
33	0.3286604864
34	0.3237752088
35	0.321970149
36	0.3208713687
37	0.3167012538
38	0.3142396211
39	0.3128500011
40	0.309428646
41	0.3085470145
42	0.3041634411
43	0.3030327759
44	0.2999698833
45	0.2987624208
46	0.2973834589
47	0.2935541941
48	0.2928216177
49	0.2918750234
50	0.2908696522
51	0.2896133992
52	0.2886592536
53	0.2863665813
54	0.2856225989
55	0.2824709809
56	0.2808277262
57	0.2802225137
58	0.279545979
59	0.2792298395
60	0.2786311398
61	0.2781864339
62	0.2762419776
63	0.2757427571
64	0.2743010857
65	0.272771378
66	0.2723224646
67	0.2705579508
68	0.2689580792
69	0.2681310089
70	0.2674623844
71	0.2658252355
72	0.2654685567
73	0.2648964643
74	0.2627201644
75	0.2613743753
76	0.261080338
77	0.2596921421
78	0.2582992978
79	0.2578986627
80	0.2572624548
81	0.2570134261
82	0.2558513325
83	0.2555328782
84	0.2543522865
85	0.2540306938
86	0.2536861171
87	0.25329138
88	0.2517979765
89	0.2513415809
90	0.2506917298
91	0.2502195019
92	0.2492070746
93	0.2489354769
94	0.2484906088
95	0.2471679008
96	0.2459114472
97	0.2455015571
98	0.2451389734
99	0.2448145228
100	0.2442935269
101	0.2440130269
102	0.2428629752
103	0.241897495
104	0.241666449
105	0.2413439277
106	0.2409853319
107	0.2398152343
108	0.2388730617
109	0.2378756114
110	0.2369813089
111	0.2354350068
112	0.2340994611
113	0.2330248184
114	0.2319230741
115	0.231640061
116	0.230414133
117	0.2298845746
118	0.2296454205
119	0.2290623496
120	0.2288688046
121	0.2283890481
122	0.2275013142
123	0.2258763113
124	0.225066177
125	0.224765191
126	0.2237982355
127	0.2225271742
128	0.2214112401
129	0.2202215323
130	0.2191488075
131	0.2188738863
132	0.2177432891
133	0.2174740923
134	0.2167695876
135	0.2153628387
136	0.2146510738
137	0.2143725308
138	0.2141551289
139	0.2131141333
140	0.2114134005
141	0.210428436
142	0.2101985805
143	0.2089827835
144	0.2086337341
145	0.2075791892
146	0.2070595065
147	0.2061386127
148	0.2058866154
149	0.2049171096
150	0.203818976
151	0.2035324007
152	0.2033379738
153	0.2028109522
154	0.2026286913
155	0.2020341667
156	0.2018660956
157	0.2014038344
158	0.2012093552
159	0.2001261915
160	0.1998207791
161	0.1991877311
162	0.1980866365
163	0.1978940743
164	0.1975750429
165	0.1972937131
166	0.1968899084
167	0.1966629474
168	0.1963993121
169	0.1959375251
170	0.19541469
171	0.1951895813
172	0.1946950848
173	0.1934900809
174	0.1928672614
175	0.1926233322
176	0.19230812
177	0.1915049096
178	0.1912226139
179	0.1910516591
180	0.1908547736
181	0.1904554123
182	0.1897229845
183	0.1893973832
184	0.188806856
185	0.1885741408
186	0.1877773638
187	0.1870806883
188	0.1868714258
189	0.1864961133
190	0.1860214238
191	0.1851644021
192	0.1846688667
193	0.1844376886
194	0.183823227
195	0.1835900939
196	0.1833537106
197	0.1827067845
198	0.1824271593
199	0.1821401776
200	0.1819303558
201	0.1817027333
202	0.1813643896
203	0.1811102786
204	0.1804825573
205	0.1794694525
206	0.1790922262
207	0.1776752703
208	0.1767341171
209	0.1763977772
210	0.1762266382
211	0.1753975777
212	0.1750775698
213	0.1745973246
214	0.1739333962
215	0.1736947865
216	0.1735476313
217	0.1726580611
218	0.1724969314
219	0.1723256997
220	0.1720739392
221	0.1719160457
222	0.1716821026
223	0.1715298204
224	0.1713785554
225	0.1709338603
226	0.1703493798
227	0.1701399789
228	0.1700013238
229	0.1694985091
230	0.1693021858
231	0.1691697443
232	0.1690571555
233	0.1687549365
234	0.1682430353
235	0.1679910027
236	0.1678172171
237	0.1675932977
238	0.1675316586
